Sample_ID	DepthPopulation	Depth	Population
T_AsBORD_1_S12	ShallowBORD	Shallow	BORD
T_AsBORD_3_S17	ShallowBORD	Shallow	BORD
T_AsBORD_4_S20	ShallowBORD	Shallow	BORD
T_AsBORD_5_S21	ShallowBORD	Shallow	BORD
T_AsBORD_6_S25	ShallowBORD	Shallow	BORD
T_AsBORD_7_S26	ShallowBORD	Shallow	BORD
T_AsBORD_9_S2	ShallowBORD	Shallow	BORD
T_AsFAV_1_S5	ShallowFAV	Shallow	FAV
T_AsFAV_2_S29	ShallowFAV	Shallow	FAV
T_AsFAV_3_S6	ShallowFAV	Shallow	FAV
T_AsFAV_4_S1	ShallowFAV	Shallow	FAV
T_AsFAV_5_S7	ShallowFAV	Shallow	FAV
T_AsFAV_6_S30	ShallowFAV	Shallow	FAV
T_AsFAV_8_S33	ShallowFAV	Shallow	FAV
T_AsFAV_9_S34	ShallowFAV	Shallow	FAV
T_AsFav_7_S32	ShallowFAV	Shallow	FAV
T_AsPOS_3r_S80	DeepPOS	Deep	POS
T_AsPOS_4r_S85	DeepPOS	Deep	POS
T_AsPOS_5_S77	DeepPOS	Deep	POS
T_AsPTF_10_S92	ShallowPTF	Shallow	PTF
T_AsPTF_1_S44	ShallowPTF	Shallow	PTF
T_AsPTF_2_S45	ShallowPTF	Shallow	PTF
T_AsPTF_3_S60	ShallowPTF	Shallow	PTF
T_AsPTF_4_S8	ShallowPTF	Shallow	PTF
T_AsPTF_5_S52	ShallowPTF	Shallow	PTF
T_AsPTF_6_S71	ShallowPTF	Shallow	PTF
T_AsPTF_7_S61	ShallowPTF	Shallow	PTF
T_AsPTF_8_S53	ShallowPTF	Shallow	PTF
T_AsSAV_10_S64	ShallowSAV	Shallow	SAV
T_AsSAV_2_S69	ShallowSAV	Shallow	SAV
T_AsSAV_7_S94	ShallowSAV	Shallow	SAV
T_AsSAV_8_S72	ShallowSAV	Shallow	SAV
T_AsSAV_8r_S91	ShallowSAV	Shallow	SAV
T_AsSAV_9_S68	ShallowSAV	Shallow	SAV
T_AsSLucia_1_S63	DeepSlucia	Deep	Slucia
T_AsSLucia_2r_S65	DeepSlucia	Deep	Slucia
T_AsSLucia_3A_S62	DeepSlucia	Deep	Slucia
T_AsSLucia_5_S67	DeepSlucia	Deep	Slucia
